symbol,entry_date,exit_date,strategy,signal,pricing_source,option_symbol,strike,expiry,entry_price,exit_price,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,entry_volatility,entry_dte,option_volume,option_open_interest,option_spread_pct,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
MSFT,2026-03-22,2026-03-23,LONG_PUT,PUT,black_scholes_proxy,,383.0,BS_ENTRY_PROXY_EXIT,0.3338475015349047,9.044727590087746,-0.2676148695143037,0.16139593713451422,7.958222842950632e-05,0.3614432875581064,-0.08451808974699715,0.018574692279000368,30,0,0,0.0,29,-25302.152256803238,-26.134327944463077,-25261.55225680324,40.6,-25302.152256803238,0.0,-25261.55225680324,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-23,2026-03-24,LONG_PUT,PUT,black_scholes_proxy,,251.64,BS_ENTRY_PROXY_EXIT,0.26937737995548616,0.07979307323624951,-0.28824477875040244,0.22921117400045654,-0.0004930005567246245,0.24624425307761058,-0.0598383234285261,0.02064156277675589,30,0,0,0.0,37,649.6619348611756,0.6518153333745078,701.4619348611756,51.800000000000004,649.6619348611756,701.4619348611756,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-23,2026-03-24,LONG_PUT,PUT,black_scholes_proxy,,372.74,BS_ENTRY_PROXY_EXIT,0.34589379552852506,1.0854132087631,-0.2739128046487638,0.162583454022736,-0.00014201840829548775,0.3558695482793016,-0.08420067337011677,0.01916788033021868,30,0,0,0.0,28,-2109.85435705681,-2.178470452420804,-2070.65435705681,39.2,-2109.85435705681,0.0,-2070.65435705681,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-23,2026-03-24,LONG_PUT,PUT,black_scholes_proxy,,207.24,BS_ENTRY_PROXY_EXIT,0.2978982860446848,6.107903350559968e-05,-0.31728534561847443,0.24675584699624295,-0.001337485728887433,0.2117100023684156,-0.05428940820165807,0.024305153445280815,30,0,0,0.0,33,936.6627831368913,0.9527990603094759,982.8627831368914,46.2,936.6627831368913,982.8627831368914,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-24,2026-03-25,LONG_PUT,PUT,black_scholes_proxy,,252.62,BS_ENTRY_PROXY_EXIT,0.255446587935225,0.18626160668745229,-0.2825385925102696,0.23303134181235433,-0.00032547550236736996,0.2448604244448953,-0.05887425684483248,0.020032742572129777,30,0,0,0.0,39,215.2214268663136,0.21603334651612682,269.82142686631363,54.60000000000001,215.2214268663136,269.82142686631363,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-24,2026-03-25,LONG_PUT,PUT,black_scholes_proxy,,371.04,BS_ENTRY_PROXY_EXIT,0.34893316820001985,3.9123380478131935,-0.2752521457624211,0.16261746579389158,-0.00019070940618001446,0.35509990950661047,-0.08422889534127843,0.01929805411815436,30,0,0,0.0,28,-10016.733662916888,-10.252407067139256,-9977.533662916887,39.2,-10016.733662916888,0.0,-9977.533662916887,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-24,2026-03-25,LONG_PUT,PUT,black_scholes_proxy,,211.71,BS_ENTRY_PROXY_EXIT,0.3001607520129852,3.501467447970498,-0.31595309469195265,0.24304142964502662,-0.0013127493854107573,0.21589056686192024,-0.05522514281855858,0.02411249890348655,30,0,0,0.0,33,-10610.512096659793,-10.711949095258186,-10564.312096659793,46.2,-10610.512096659793,0.0,-10564.312096659793,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-25,2026-03-26,LONG_PUT,PUT,black_scholes_proxy,,252.89,BS_ENTRY_PROXY_EXIT,0.2573424850338881,3.2925111879952738,-0.28317291356507446,0.23226618846461525,-0.00034394791530966307,0.24538628273214833,-0.059070362134114165,0.020098913700479577,30,0,0,0.0,38,-11586.841071253266,-11.848679795564484,-11533.641071253265,53.2,-11586.841071253266,0.0,-11533.641071253265,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-25,2026-03-26,LONG_PUT,PUT,black_scholes_proxy,,365.97,BS_ENTRY_PROXY_EXIT,0.38810779250232486,8.038792368698466,-0.2873066417247291,0.15814572068706825,-0.0006751310161690834,0.357571649579289,-0.08674004339548062,0.020539329921656326,30,0,0,0.0,25,-19161.711440490355,-19.74885514866396,-19126.711440490355,35.0,-19161.711440490355,0.0,-19126.711440490355,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-25,2026-03-26,LONG_PUT,PUT,black_scholes_proxy,,207.54,BS_ENTRY_PROXY_EXIT,0.29981067458130894,7.541467818787481,-0.31776363052499323,0.24584971530475194,-0.0013585466125936188,0.21215154351568766,-0.05445080100307265,0.024374991395806636,30,0,0,0.0,33,-23943.66857588037,-24.200796567163028,-23897.468575880368,46.2,-23943.66857588037,0.0,-23897.468575880368,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
