expiry,dte,strike,option_type,moneyness,delta,implied_volatility,bid,ask,mid,spread_pct
2026-08-11,16,29600.0,CALL,1.052319399778009,0.1504247050648141,0.2207867115145423,94.0,110.4,102.2,0.16046966731898243
2026-08-11,16,29800.0,PUT,1.0594296659927251,-0.8792695232753557,0.21967619366701707,1552.3,1848.3,1700.3,0.17408692583661708
2026-08-11,16,30000.0,CALL,1.0665399322074416,0.08160544200871726,0.20987968195322176,38.0,55.4,46.7,0.3725910064239828
2026-08-11,16,30200.0,CALL,1.0736501984221578,0.05727401390976184,0.20349697641346548,22.0,38.4,30.2,0.543046357615894
2026-08-11,16,30450.0,CALL,1.082538031190553,0.034738258163995096,0.20202592420280735,8.0,25.3,16.65,1.0390390390390392
2026-08-11,16,30500.0,CALL,1.0843155977442323,0.032208705925969236,0.20133335818371006,7.1,23.5,15.3,1.0718954248366013
2026-08-11,16,30800.0,CALL,1.0949809970663067,0.018988519491847107,0.20104055112753355,0.35,16.7,8.525,1.917888563049853
2026-08-11,16,31000.0,CALL,1.102091263281023,0.015762394760696838,0.20986954447252962,0.05,14.3,7.175000000000001,1.9860627177700347
2026-08-11,16,31400.0,CALL,1.1163117957104554,0.012202460599237571,0.2268981179602944,0.05,11.6,5.825,1.9828326180257507
2026-08-11,16,31500.0,CALL,1.1198669288178136,0.011528264781864653,0.23072310391221532,0.0,11.1,5.55,2.0
2026-08-11,16,33000.0,CALL,1.1731939254281856,0.004102636336482983,0.2832182718804823,0.0,8.9,4.45,2.0
2026-08-12,17,18000.0,PUT,0.6399239593244649,-0.0033339209086815876,0.7966456997208511,0.0,12.1,6.05,2.0
2026-08-12,17,19000.0,PUT,0.6754752903980463,-0.004368633600565919,0.7158268064992054,0.05,13.1,6.575,1.9847908745247147
2026-08-12,17,20000.0,PUT,0.7110266214716277,-0.005424462196478832,0.6361309825970096,0.05,14.7,7.375,1.9864406779661015
2026-08-12,17,21000.0,PUT,0.7465779525452091,-0.007133234352333049,0.5657765783106167,0.05,17.5,8.775,1.9886039886039883
2026-08-12,17,22000.0,PUT,0.7821292836187904,-0.011327238598638689,0.5154637956168485,4.2,22.2,13.2,1.3636363636363638
2026-08-12,17,25000.0,PUT,0.8887832768395346,-0.06583953335609835,0.3747247953209116,60.5,79.6,70.05,0.27266238401142034
2026-08-12,17,25400.0,PUT,0.9030038092689672,-0.08643177111708608,0.3558730726651723,84.0,100.9,92.45,0.18280151433207145
2026-08-12,17,25500.0,PUT,0.9065589423763253,-0.09291695171281057,0.35295368170732366,91.3,108.3,99.8,0.17034068136272545
2026-08-12,17,25600.0,PUT,0.9101140754836834,-0.09939818194103403,0.3498538441902146,98.7,115.2,106.95,0.15427769985974754
2026-08-12,17,25800.0,PUT,0.9172243416983997,-0.11390888731317815,0.3459627860834292,115.3,131.8,123.55000000000001,0.13354917037636593
2026-08-12,17,26000.0,PUT,0.924334607913116,-0.13000877741520633,0.33804326447282784,134.3,150.5,142.4,0.11376404494382014
2026-08-12,17,26200.0,PUT,0.9314448741278323,-0.14868610915377867,0.32846315135088167,156.2,172.6,164.39999999999998,0.09975669099756695
2026-08-12,17,26500.0,CALL,0.9421102734499066,0.8154090368715085,0.32307492097342333,1646.3,2126.4,1886.35,0.25451268322421616
2026-08-12,17,26500.0,PUT,0.9421102734499066,-0.1815084422746104,0.31834130158070945,196.0,211.4,203.7,0.07560137457044677
2026-08-12,17,26600.0,CALL,0.9456654065572648,0.7847073441499826,0.35290090457196893,1646.0,2063.2,1854.6,0.22495416801466614
2026-08-12,17,26600.0,PUT,0.9456654065572648,-0.19458092191736662,0.3176630359804878,208.4,233.5,220.95,0.11360036207286714
2026-08-12,17,27000.0,PUT,0.9598859389866974,-0.2499593744261027,0.30192773908178855,276.9,308.1,292.5,0.10666666666666683
2026-08-12,17,27500.0,PUT,0.977661604523488,-0.33824258464186163,0.2896059682247988,398.5,434.4,416.45,0.08620482650978503
2026-08-12,17,27800.0,PUT,0.9883270038455625,-0.4007408557392184,0.2760115516011369,490.9,533.3,512.0999999999999,0.08279632884202301
2026-08-12,17,28000.0,PUT,0.9954372700602787,-0.4463054159033135,0.2708446929531127,568.2,601.8,585.0,0.05743589743589728
2026-08-12,17,28350.0,PUT,1.0078802359360322,-0.5312040510391196,0.2576320328168438,717.0,750.6,733.8,0.045789043336058904
