symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-03-29,2026-03-31,LONG_PUT,PUT,246.63,STOCK_PROXY,246.63,255.63,1,-900.0,-0.03649191095973726,0.0,-900.0,2,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-30,2026-04-14,LONG_PUT,PUT,253.79,STOCK_PROXY,253.79,266.43,1,-1264.0000000000014,-0.049804956854092024,28.999999999999204,-1264.0000000000014,15,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-04-19,2026-05-03,LONG_CALL,CALL,273.05,STOCK_PROXY,273.05,276.83,1,377.99999999999727,0.013843618384911088,708.9999999999975,-687.9999999999995,14,TIME_STOP,70.0,70.0,0.0,0.0,100.0
AAPL,2026-04-22,2026-05-05,LONG_CALL,CALL,273.43,STOCK_PROXY,273.43,287.51,1,1407.9999999999984,0.05149398383498513,1407.9999999999984,-581.9999999999993,13,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AAPL,2026-04-23,2026-05-05,LONG_CALL,CALL,271.06,STOCK_PROXY,271.06,287.51,1,1644.9999999999989,0.06068767062642953,1644.9999999999989,-344.99999999999886,12,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AAPL,2026-05-03,2026-05-07,LONG_CALL,CALL,276.83,STOCK_PROXY,276.83,293.32,1,1649.000000000001,0.05956724343459889,1649.000000000001,0.0,4,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AAPL,2026-05-05,2026-05-19,LONG_CALL,CALL,287.51,STOCK_PROXY,287.51,302.25,1,1474.000000000001,0.05126778199019168,1474.000000000001,-6.999999999999318,14,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AAPL,2026-05-06,2026-05-19,LONG_CALL,CALL,287.44,STOCK_PROXY,287.44,302.25,1,1481.0000000000002,0.05152379627052603,1481.0000000000002,0.0,13,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-07,2026-05-21,LONG_CALL,CALL,293.32,STOCK_PROXY,293.32,308.82,1,1550.0,0.05284331105959362,1550.0,-63.999999999998636,14,TAKE_PROFIT,60.0,60.0,0.0,0.0,100.0
AAPL,2026-05-10,2026-05-21,LONG_CALL,CALL,292.68,STOCK_PROXY,292.68,308.82,1,1613.9999999999986,0.05514555145551451,1613.9999999999986,0.0,11,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
