C,balanced_accuracy,brier_score,family,fold_id,horizon,log_loss,reason,roc_auc,status,test_count,train_count
1.0,0.4995920470236379,0.2514035645241908,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6961265230080229,,0.4956075009951263,EVALUATED,52691,222375
10.0,0.49953966188774795,0.251256619361239,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6958474210040998,,0.49942392142267866,EVALUATED,52691,222375
,,,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,52691,222375
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF4,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,52786,222964
0.01,0.520189357468118,0.2415451294093197,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6760875350802089,,0.5433313447800555,EVALUATED,25276,274512
0.1,0.5218955634089999,0.24192850627927584,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.676853802644256,,0.540919298859817,EVALUATED,25276,274512
1.0,0.5213189475388472,0.24201802930732685,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6770335914267251,,0.5405108975267934,EVALUATED,25276,274512
10.0,0.5206591014720355,0.24201058898227507,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6770162108644565,,0.5405540704095522,EVALUATED,25276,274512
,,,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,25276,274512
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF5,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,25344,275191
0.01,0.5353434888431613,0.24572624296979037,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6862053089895066,,0.5309216505428425,EVALUATED,44788,80497
0.1,0.5269715436600679,0.24551497808284253,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6865331359416914,,0.524638524438466,EVALUATED,44788,80497
1.0,0.5253495582090357,0.24574182229372346,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6862150085754477,,0.5224592547553162,EVALUATED,44788,80497
10.0,0.5265606899407216,0.2456754993177685,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6854413347954436,,0.5230152007120987,EVALUATED,44788,80497
,,,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,44788,80497
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF1,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,44865,80633
0.01,0.5145362644241878,0.24712775276340274,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,20,0.7396426495996113,,0.5043232085394442,EVALUATED,46838,124793
0.1,0.5171661607304233,0.24652546042965912,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,20,0.7383942786268702,,0.5128050147565086,EVALUATED,46838,124793
1.0,0.5171367979981852,0.2463217639632352,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,20,0.7379722966856926,,0.5153153949930636,EVALUATED,46838,124793
10.0,0.5176383678908425,0.24620873397960466,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,20,0.7377469767258733,,0.5169673793177345,EVALUATED,46838,124793
,,,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,46838,124793
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF2,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,46932,125005
0.01,0.5214683494752719,0.23916102022358418,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,20,0.7222287866176874,,0.5441768573722514,EVALUATED,49736,171944
0.1,0.5243617391117303,0.2391925483643088,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,20,0.7223192949651938,,0.5430934659784934,EVALUATED,49736,171944
1.0,0.523999202564099,0.2396094500002635,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,20,0.7233727054759274,,0.5417102914238962,EVALUATED,49736,171944
10.0,0.5244644263943872,0.24000434507036747,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,20,0.7249980867614685,,0.5414405759770194,EVALUATED,49736,171944
,,,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,49736,171944
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF3,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,49817,172250
0.01,0.5007516341511702,0.25292826760575376,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,20,0.6994324323843801,,0.4915552766070202,EVALUATED,52707,221567
0.1,0.5013188940807678,0.253422968299147,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,20,0.7005254135853729,,0.48817196100078786,EVALUATED,52707,221567
1.0,0.5007752267275462,0.2533095595281499,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,20,0.7003357019467502,,0.49037286066939667,EVALUATED,52707,221567
10.0,0.5002773574965731,0.2532316546522334,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,20,0.7002911669338525,,0.4945321676109945,EVALUATED,52707,221567
,,,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,52707,221567
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF4,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,52786,221953
0.01,0.522196988695229,0.23433362343550912,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,20,0.6614288613172127,,0.5595408586894002,EVALUATED,24266,273671
0.1,0.5266630368847499,0.23455571573277834,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,20,0.6618629769960181,,0.5589731061754051,EVALUATED,24266,273671
1.0,0.5255849080410147,0.23469929977828702,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,20,0.6621532720930537,,0.5580022493764731,EVALUATED,24266,273671
10.0,0.5246689315272993,0.2348169700175342,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,20,0.6623871297377534,,0.5569245223835433,EVALUATED,24266,273671
,,,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,24266,273671
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF5,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,24304,274136
