symbol,asset_type,cadence,horizon_sessions,replayed_profile_count,native_not_eligible_count,matured_count,not_matured_count,directional_evaluable_count,directional_hit_count,directional_accuracy,mean_forward_return,median_forward_return,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,source_data_sha256,replay_result_sha256,outcome_sha256
ADI,EQUITY,WEEKLY,5,1136,0,1135,1,880,425,0.48295454545454547,0.002759902746406166,0.0026917900403768957,627,0.48963317384370014,253,0.466403162055336,255,338abd5fa6bf6e3ffce105dd8cf1b3237a7542508baf930b1a9319ef44d13bfa,9b92c912de87f3a22da4dce97436290b7a86d61c858bc29d5b403a5142a7f336,8619acbf2ccf8b297014a11e99b49c8c6a3860a34f4eba45816307f98da20751
ADI,EQUITY,WEEKLY,10,1136,0,1134,2,879,415,0.472127417519909,0.005417121576926211,0.0056750475772214815,626,0.48722044728434505,253,0.43478260869565216,255,338abd5fa6bf6e3ffce105dd8cf1b3237a7542508baf930b1a9319ef44d13bfa,9b92c912de87f3a22da4dce97436290b7a86d61c858bc29d5b403a5142a7f336,8619acbf2ccf8b297014a11e99b49c8c6a3860a34f4eba45816307f98da20751
ADI,EQUITY,WEEKLY,20,1136,0,1132,4,879,418,0.47554038680318544,0.010839718306610811,0.008538361349171963,626,0.4904153354632588,253,0.43873517786561267,253,338abd5fa6bf6e3ffce105dd8cf1b3237a7542508baf930b1a9319ef44d13bfa,9b92c912de87f3a22da4dce97436290b7a86d61c858bc29d5b403a5142a7f336,8619acbf2ccf8b297014a11e99b49c8c6a3860a34f4eba45816307f98da20751
ADM,EQUITY,WEEKLY,5,1136,0,1135,1,894,442,0.49440715883668906,0.0017677152653224266,0.0027261462205701026,551,0.5099818511796733,343,0.46938775510204084,241,36bef5cbb802e3a632702eea9927ba8b39cbc032f6bfe0d855b76ba7064863e1,b7fceb81ac66780f851779a7fe3fe6354d8b288adc7ca9e07f8a1c60b84f0dbe,7955f615504537d7811c5001deb36d8c96f9bd227c02fd7d23d8a94892d3bb28
ADM,EQUITY,WEEKLY,10,1136,0,1134,2,893,447,0.5005599104143337,0.0033137641816430364,0.004564738050962247,550,0.509090909090909,343,0.4868804664723032,241,36bef5cbb802e3a632702eea9927ba8b39cbc032f6bfe0d855b76ba7064863e1,b7fceb81ac66780f851779a7fe3fe6354d8b288adc7ca9e07f8a1c60b84f0dbe,7955f615504537d7811c5001deb36d8c96f9bd227c02fd7d23d8a94892d3bb28
ADM,EQUITY,WEEKLY,20,1136,0,1132,4,892,458,0.5134529147982063,0.007391535915794716,0.006383762210059207,549,0.5537340619307832,343,0.4489795918367347,240,36bef5cbb802e3a632702eea9927ba8b39cbc032f6bfe0d855b76ba7064863e1,b7fceb81ac66780f851779a7fe3fe6354d8b288adc7ca9e07f8a1c60b84f0dbe,7955f615504537d7811c5001deb36d8c96f9bd227c02fd7d23d8a94892d3bb28
ADP,EQUITY,WEEKLY,5,1136,0,1135,1,909,460,0.506050605060506,0.0019034118489524238,0.0025557620817844295,655,0.5374045801526718,254,0.4251968503937008,226,45cfecffe38161b9c4df95d5d42468391442cbe2fa92f974ba1494876df27a21,910d46d6791ba3cb790743eb9c7ce20d3650bfe99de411764614991ce2edf038,ecafde3fc8e2fe8610ed3add3728013326edae9265e3b21c717ea098a84c42b5
ADP,EQUITY,WEEKLY,10,1136,0,1134,2,908,438,0.48237885462555063,0.003951744705436994,0.004006953416646808,654,0.5229357798165137,254,0.3779527559055118,226,45cfecffe38161b9c4df95d5d42468391442cbe2fa92f974ba1494876df27a21,910d46d6791ba3cb790743eb9c7ce20d3650bfe99de411764614991ce2edf038,ecafde3fc8e2fe8610ed3add3728013326edae9265e3b21c717ea098a84c42b5
ADP,EQUITY,WEEKLY,20,1136,0,1132,4,906,433,0.47792494481236203,0.007667967100384892,0.008808342399385882,652,0.5245398773006135,254,0.35826771653543305,226,45cfecffe38161b9c4df95d5d42468391442cbe2fa92f974ba1494876df27a21,910d46d6791ba3cb790743eb9c7ce20d3650bfe99de411764614991ce2edf038,ecafde3fc8e2fe8610ed3add3728013326edae9265e3b21c717ea098a84c42b5
ADSK,EQUITY,WEEKLY,5,1136,0,1135,1,913,443,0.48521358159912376,0.002577732778254046,0.0038323113836311595,587,0.5212947189097104,326,0.42024539877300615,222,148ec1ef676b4eece35dd043de0c8e5ecea8b8bc05dc3bc4102f95d2d5147e82,89c343ecb70640324e88f9d66db6dad003df268c0a1f78ae94f5954bbc3ffb2c,e79b4d34c346c809cc4c297e46a2c42b7fe77e286ab3dd8b3439514efc8bc7ef
ADSK,EQUITY,WEEKLY,10,1136,0,1134,2,912,438,0.48026315789473684,0.005337104944315392,0.007838867095260715,586,0.5238907849829352,326,0.401840490797546,222,148ec1ef676b4eece35dd043de0c8e5ecea8b8bc05dc3bc4102f95d2d5147e82,89c343ecb70640324e88f9d66db6dad003df268c0a1f78ae94f5954bbc3ffb2c,e79b4d34c346c809cc4c297e46a2c42b7fe77e286ab3dd8b3439514efc8bc7ef
ADSK,EQUITY,WEEKLY,20,1136,0,1132,4,912,434,0.4758771929824561,0.010145314306790677,0.015066012052766031,586,0.5187713310580204,326,0.3987730061349693,220,148ec1ef676b4eece35dd043de0c8e5ecea8b8bc05dc3bc4102f95d2d5147e82,89c343ecb70640324e88f9d66db6dad003df268c0a1f78ae94f5954bbc3ffb2c,e79b4d34c346c809cc4c297e46a2c42b7fe77e286ab3dd8b3439514efc8bc7ef
