symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol
META,6,PUT,600.0,2027-01-15,60.32102945722676,63.51259901313955,0.49886356581008023,41.391,92.84122552294536,100.0,80.0,35.0,-1.0,-0.5215877447705465,0.37511130092427974,5913,0,0.0,0.0,0.0026911677898298967,-0.1309143618292256,1.6753312940796905,0.0,O:META270115P00600000
META,7,PUT,620.0,2026-09-18,59.415965351131625,58.05739154751204,0.5733474016348789,22.343999999999998,78.14998192846754,100.0,100.0,35.0,-1.0,-0.6685001807153246,0.3768769285046635,3192,0,0.0,0.0,0.003820692056763663,-0.19533246605002463,0.9632857517423582,0.0,O:META260918P00620000
META,8,PUT,700.0,2026-09-18,58.9928139459224,59.33584353804072,0.80649549624296,11.081,57.22309475328928,100.0,100.0,35.0,-1.0,-0.8777690524671072,0.3860037216155002,1583,0,0.0,0.0,0.0024040454033877738,-0.09795499443952771,0.4833094107258345,0.0,O:META260918P00700000
META,9,PUT,650.0,2026-08-21,58.78596844254405,58.15539716826191,0.7012968860883166,15.504999999999999,64.90908689891701,100.0,100.0,35.0,-1.0,-0.8009091310108298,0.4095967096725614,2215,0,0.0,0.0,0.003418093653227741,-0.2000477619122646,0.6026133189340162,0.0,O:META260821P00650000
META,10,PUT,630.0,2026-09-18,58.77920990965488,57.640381653917956,0.6078130350615267,18.27,75.04144100582755,100.0,100.0,35.0,-1.0,-0.6995855899417245,0.38199123573827864,2610,0,0.0,0.0,0.003650781094055091,-0.1886701577223026,0.965233561653984,0.0,O:META260918P00630000
MSFT,1,CALL,390.0,2026-08-21,79.3534276413906,85.64259571161926,0.8564428662726716,70.0,95.53952424284957,100.0,100.0,35.0,-1.0,0.4053952424284958,0.42615689166454424,25250,0,0.0,0.0,0.006575737672788897,-0.23146197339782526,0.5729295961765102,0.0,O:MSFT260821C00390000
MSFT,2,CALL,400.0,2026-08-21,77.70825876509707,82.65137957290376,0.8182491704744685,70.0,89.68565101570009,100.0,100.0,35.0,-1.0,0.34685651015700086,0.42316252199277626,14205,0,0.0,0.0,0.006242535968078968,-0.2160662398142708,0.5094752418117389,0.0,O:MSFT260821C00400000
MSFT,3,CALL,400.0,2026-09-18,77.28140487807013,81.87528159649115,0.778526476435673,70.0,92.93689015625692,100.0,100.0,35.0,-1.0,0.3793689015625693,0.39981877281636086,10546,0,0.0,0.0,0.005545123397732882,-0.1732224486385435,0.6283406592758106,0.0,O:MSFT260918C00400000
MSFT,4,CALL,385.0,2026-08-21,74.93636204740126,81.66902190436593,0.8773870647911904,47.684,98.61015725087327,100.0,100.0,35.0,-1.0,0.43610157250873266,0.42068829304496125,6812,0,0.0,0.0,0.0067054770545197425,-0.23063901789305155,0.5683690956074465,0.0,O:MSFT260821C00385000
MSFT,5,CALL,395.0,2026-08-21,74.54048834220184,79.93997880400335,0.8369486945237714,53.234999999999985,92.61312409220996,100.0,100.0,35.0,-1.0,0.3761312409220996,0.4265445052445447,7605,0,0.0,0.0,0.006418643111335792,-0.22597009903460066,0.5053505362973904,0.0,O:MSFT260821C00395000
MSFT,6,CALL,420.0,2026-08-21,74.14900897594269,76.1800163198958,0.717386226985197,70.0,79.93826896195165,100.0,100.0,35.0,-1.0,0.24938268961951654,0.4370955750210739,10285,0,0.0,0.0,0.005238747551904132,-0.19227578822164929,0.401350652708462,0.0,O:MSFT260821C00420000
MSFT,7,CALL,360.0,2026-12-18,72.81656043376968,79.17047351594485,0.823540264379678,60.228,84.68745176303094,100.0,90.0,35.0,-1.0,0.6031254823696907,0.39073624762966497,8604,0,0.0,0.0,0.003906916509339999,-0.12174018397738952,0.9657569770965495,0.0,O:MSFT261218C00360000
MSFT,8,CALL,420.0,2026-09-18,72.76460280793853,74.6632778326155,0.6902770140297722,64.498,83.7107890856985,100.0,100.0,35.0,-1.0,0.28710789085698496,0.4037664112027981,9214,0,0.0,0.0,0.004908548350451518,-0.15537721500522234,0.6483165980312384,0.0,O:MSFT260918C00420000
MSFT,9,CALL,430.0,2026-08-21,72.46051153153073,73.11002096641951,0.6649596771396551,70.0,76.04653552333322,100.0,100.0,35.0,-1.0,0.21046535523333215,0.4392802831233931,11788,0,0.0,0.0,0.004684534810550711,-0.17337097994560918,0.4071900024427874,0.0,O:MSFT260821C00430000
MSFT,10,CALL,400.0,2027-01-15,72.23691888980433,79.9762161632806,0.6923342256322286,70.0,99.1313885519658,100.0,80.0,35.0,-1.0,0.45868611448034213,0.3826371645758077,13255,0,0.0,0.0,0.003816492371438044,-0.11257161813377671,1.1131947389235843,0.0,O:MSFT270115C00400000
NVDA,1,PUT,200.0,2026-10-16,67.1005279718373,63.36459631243146,0.29629199741672935,70.0,96.05166566304915,100.0,100.0,35.0,-1.0,-0.4894833433695085,0.4004711567640267,15140,0,0.0,0.0,0.009676850619701513,-0.07005120954339741,0.4229824580737435,0.0,O:NVDA261016P00200000
NVDA,2,PUT,210.0,2026-09-18,66.87813295343807,62.96024173352375,0.3610036937894643,70.0,84.08037592778072,100.0,100.0,35.0,-1.0,-0.6091962407221927,0.40477697983013883,16180,0,0.0,0.0,0.010897147466807235,-0.07958710926152388,0.32979569907872575,0.0,O:NVDA260918P00210000
NVDA,3,PUT,215.0,2026-09-18,66.65419160189848,62.98962109436086,0.4078170493365052,67.599,79.10875648360258,100.0,100.0,35.0,-1.0,-0.6589124351639741,0.3979153656882862,9657,0,0.0,0.0,0.010560661016216928,-0.07241210336638877,0.33405242956584297,0.0,O:NVDA260918P00215000
NVDA,4,PUT,200.0,2026-12-18,66.39403299472274,65.7164236267686,0.33970288177784247,70.0,98.51323342261959,100.0,90.0,35.0,-1.0,-0.464867665773804,0.40992471190733853,18687,0,0.0,0.0,0.007562284249632338,-0.0554395093327751,0.5281861748492558,0.0,O:NVDA261218P00200000
