symbol,relative_path,sha256,fieldnames,date_candidates,close_candidates
APH,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APH.daily.csv.gz,e5d5fd9dc49dc340ca9b74af470f005ec9966de98c9857da9fecd23c850c98e3,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
APO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APO.daily.csv.gz,6ad82701498da5d77f7bc230a8ebec9b163010f4313c1e41608bfd2b43d87eb9,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
APP,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APP.daily.csv.gz,d3f7feb10dc8f5fc3e0a274963e7c9aa9d0802ff2a4c1e7310d7035283f98584,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
APTV,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APTV.daily.csv.gz,7780c2fc5a36282647acfd70d1a3e7c55dfa91e11384352bdd28ef317e245127,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ARE,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ARE.daily.csv.gz,63c84ab13e41def9b699f0dbb1bb3c3f4df7b8b1d91cbef6f1a383a8c96fc655,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ARES,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ARES.daily.csv.gz,4e901a34314b729e16214a904538788531b2a76ed99232cdbfecdbf09f55ce05,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ARKK,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ARKK.daily.csv.gz,9ca9f3818a725869f445e8f24f03308249dd424bd0b828a9bc2927ef6028aba7,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ARM,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ARM.daily.csv.gz,1a383dd42705e60c5ae9beaf4506d72867f32dba527b4a13c0886628416499a4,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ASML,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ASML.daily.csv.gz,133323f1572186cd407ec5228dcaa4a37ea85690b1e8e31e5db4a568fe61d04d,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ATO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ATO.daily.csv.gz,686c602cb98646316716946af38cb9df5c9e0c3de4232f4b9f526e72500e9315,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AVB,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AVB.daily.csv.gz,34ff97669b7066073343ea39642937585941e97ad9430ed22be2bee2f79a3499,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AVGO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AVGO.daily.csv.gz,3cd0ed258956840efd216942a1f67c6f7a477675c1bdca331dfeaf619de0230e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AVY,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AVY.daily.csv.gz,a94ac5532ee559afbb6367fe0dbb69d39157dfc4054fab5e62234d2c5b60a9ef,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AWK,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AWK.daily.csv.gz,f654d3f5e60df8e3e3cfb4e362a9722d97cd960503eb0350f41e09a9121342db,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AXON,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AXON.daily.csv.gz,8e5d9d07567da7d13e02ff29fe0f73967e29d70fec12cac63d5712360096416e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AXP,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AXP.daily.csv.gz,277880567648a1c3f6a1de39d523cc30381b2106b87fe5d6cd3125a7b0bc462c,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AZO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AZO.daily.csv.gz,d1c49ca4ac1d955cf1033a2b90ba91014774e66895a7a2a738c2fdf2df634419,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BA,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BA.daily.csv.gz,bd39f9cf1e3364a4cb3d963a81cb5bb0534803d2f6e79a4b81edd38579a40432,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BAC,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BAC.daily.csv.gz,8cb2293ddc81ab1b4de126e11ff0261dc5266b65769615e415ff43156c24c58c,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BALL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BALL.daily.csv.gz,8f4b036898ba2e1b01768757384110b5f3173361e8537459138d98d069c32ce2,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BAX,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BAX.daily.csv.gz,0f9f81e7ae52c8dc04294588784545c308e87ed3251930dd936c539f191d6f8f,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BBY,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BBY.daily.csv.gz,7df3f1c9b34d250ebf5e2769f3af6b8088680092a4e5f4255cd8ae8ac39c79d8,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BDX,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BDX.daily.csv.gz,3fe3704c08aa6fc0f42091037af479595f3efd86555e7ea9af12482cb6351a22,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BEN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BEN.daily.csv.gz,9df24920ab1e1fa567de26ed11627085818a415efb75d5c147862e523392dd6e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BF.B,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BF.B.daily.csv.gz,c1a9ab30dbdf6d111dea00f8ee69994e5a8665fdc03d10f165c96d404a604ebe,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BG,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BG.daily.csv.gz,4be512fcb123806815e1051e9f26696677ffc1b65a15d6b4b8d7e8446da1fc1a,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BIIB,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BIIB.daily.csv.gz,6054f729b9de2dba19daee319bc9afe8552cd6994fed6d04d3523466481437a4,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BITO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BITO.daily.csv.gz,81fcb1619d52ee3474ebed8178a8cbad6ef0c3b8e7b919dd27bcef342c4b0fc1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BKNG,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BKNG.daily.csv.gz,c6aaaf1e2c0265d0d15d6f97f46dd44a0808ac1dbf137de0657eab8f49a52544,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BKR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BKR.daily.csv.gz,46eab48a0118b78570808f520c570c597c2f4751efeebbfb44b018dcbe9bff9e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BLDR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BLDR.daily.csv.gz,cda3e8389f39b166f9e4596fdd698b24fc473b315dfc8e11b76c3a18a582e85d,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BLK,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BLK.daily.csv.gz,2f850a2439695bb83293d6924494bf91cd6df9c62048b40d037802258ce92802,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BMY,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BMY.daily.csv.gz,ab31304e20069217af296d1cee2220900736b51001bbb1e88a102890146bc8fa,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BND,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BND.daily.csv.gz,ffb744050f5f511c143b0d677fe4946a91861964839f50b18523b0fefdca2ae7,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
