symbol,rank,signal,strike,expiry,total_score,option_score,atm_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol,option_score_contribution,atm_score_contribution,dte_score_contribution,liquidity_contribution,spread_contribution,option_weight,atm_weight,dte_weight,liquidity_weight,spread_weight
AMD,8,CALL,240.0,2026-11-20,61.093693143812615,76.48423285953155,15.0,0.9229194734572754,70.0,48.26981568496207,100.0,90.0,35.0,-1.0,0.9673018431503794,0.8543942550771443,16778,0,0.0,0.0,0.0002549778046072511,-0.09711769313155967,0.21102498523613214,0.0,O:AMD261120C00240000,30.59369314381262,3.0,13.5,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMD,9,CALL,500.0,2026-10-16,60.983858622224986,52.70527155556246,100.0,0.5201260314875551,9.345,78.25592118424103,100.0,100.0,35.0,-1.0,0.6674407881575897,0.740962262580179,1335,0,0.0,0.0,0.00168346045140516,-0.3996424186533068,1.0780333462753737,0.0,O:AMD261016C00500000,21.082108622224986,20.0,15.0,1.40175,3.5,0.4,0.2,0.15,0.15,0.1
AMD,10,CALL,260.0,2026-11-20,60.31905970327601,75.44539925819002,15.0,0.9068048223768478,67.606,49.08682545246443,100.0,90.0,35.0,-1.0,0.9591317454753557,0.8236063691941776,9658,0,0.0,0.0,0.00031883010057812497,-0.11075236620464252,0.38096812087476095,0.0,O:AMD261120C00260000,30.17815970327601,3.0,13.5,10.140899999999998,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,1,CALL,250.0,2026-08-21,77.7684587451463,76.92114686286575,90.0,0.6196905067678671,70.0,98.53410636860427,100.0,100.0,35.0,-1.0,0.4646589363139574,0.39465561399085464,27246,0,0.0,0.0,0.011244459392763431,-0.15173767984694497,0.3626119581454703,0.0,O:AMZN260821C00250000,30.768458745146305,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,2,CALL,260.0,2026-09-18,77.68700369757079,71.71750924392698,100.0,0.5107901981401382,70.0,95.14360527328579,100.0,100.0,35.0,-1.0,0.4014360527328579,0.38911300102719915,11951,0,0.0,0.0,0.009030038084571862,-0.11918151249990981,0.40621619243956475,0.0,O:AMZN260918C00260000,28.687003697570795,20.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,3,CALL,260.0,2026-08-21,77.34835916007684,70.8708979001921,100.0,0.5130998095904654,70.0,91.38762206629394,100.0,100.0,35.0,-1.0,0.36387622066293945,0.40175602164050245,41791,0,0.0,0.0,0.010484297826793079,-0.14484428629576515,0.3263616602359835,0.0,O:AMZN260821C00260000,28.348359160076843,20.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,4,CALL,250.0,2026-09-18,77.18783951761354,75.46959879403386,90.0,0.5983601026242911,70.0,96.14077875624885,100.0,100.0,35.0,-1.0,0.48859221243751155,0.3850489595693562,10370,0,0.0,0.0,0.009276229714921399,-0.12157598430964947,0.4509934324520486,0.0,O:AMZN260918C00250000,30.187839517613543,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,5,CALL,255.0,2026-08-21,76.67256324546828,74.18140811367071,90.0,0.5653635930843184,70.0,96.26745756119193,100.0,100.0,35.0,-1.0,0.41267457561191934,0.4021819458986116,13046,0,0.0,0.0,0.010918903890201673,-0.15184659770587156,0.3677575314535602,0.0,O:AMZN260821C00255000,29.672563245468286,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,6,CALL,260.0,2026-12-18,76.37693399084532,72.19233497711329,100.0,0.507407026610635,70.0,97.58421565075155,100.0,90.0,35.0,-1.0,0.4741578434924845,0.38377792040669206,11963,0,0.0,0.0,0.006329025588433181,-0.08500652699026924,0.6758377389881264,0.0,O:AMZN261218C00260000,28.876933990845316,20.0,13.5,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,7,CALL,240.0,2026-08-21,75.24561166354295,78.11402915885735,75.0,0.7181634942599243,70.0,87.54995755384152,100.0,100.0,35.0,-1.0,0.5745004244615848,0.4012052409832632,10630,0,0.0,0.0,0.010974354236703928,-0.15516290621488982,0.3519073394818378,0.0,O:AMZN260821C00240000,31.24561166354294,15.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,8,CALL,260.0,2026-11-20,74.76957318346567,70.85143295866416,100.0,0.5078988132372088,62.85999999999999,99.28192171670321,100.0,90.0,35.0,-1.0,0.4571807828329679,0.39422961313202015,8980,0,0.0,0.0,0.006751071414812994,-0.09384421374390114,0.6183408888928781,0.0,O:AMZN261120C00260000,28.340573183465665,20.0,13.5,9.428999999999998,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,9,CALL,250.0,2026-12-18,74.7192099081754,73.04802477043849,90.0,0.5667917243860636,70.0,91.50542317998378,100.0,90.0,35.0,-1.0,0.5349457682001623,0.38603953763116466,11363,0,0.0,0.0,0.0062852090479482165,-0.08644185191308881,0.6561755105853635,0.0,O:AMZN261218C00250000,29.219209908175397,18.0,13.5,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMZN,10,CALL,255.0,2026-09-18,74.30951776540272,72.0144194135068,90.0,0.5553679102341273,60.02499999999999,99.17381201656683,100.0,100.0,35.0,-1.0,0.44173812016566827,0.3792352634628473,8575,0,0.0,0.0,0.009357001243770204,-0.11826993599947769,0.45793792099752606,0.0,O:AMZN260918C00255000,28.80576776540272,18.0,15.0,9.003749999999998,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,1,PUT,360.0,2026-08-21,73.80322148557674,67.00805371394185,90.0,0.3689930166017028,70.0,98.99333219949492,100.0,100.0,35.0,-1.0,-0.43993332199494917,0.3628093246683825,11943,0,0.0,0.0,0.008293738286150178,-0.1802476884189358,0.5275353804836993,0.0,O:GOOGL260821P00360000,26.803221485576742,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,2,PUT,350.0,2026-08-21,68.76123072795974,61.90307681989937,75.0,0.2924383747989585,70.0,90.82216731176412,100.0,100.0,35.0,-1.0,-0.3582216731176411,0.36291924778642926,10347,0,0.0,0.0,0.007782085221624789,-0.17143306412906933,0.5165012127995999,0.0,O:GOOGL260821P00350000,24.76123072795975,15.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,3,PUT,390.0,2026-08-21,67.5823963395596,63.215990848898954,90.0,0.608394713194277,38.64,76.88080928451149,100.0,100.0,35.0,-1.0,-0.6811919071548851,0.3528837823254254,5520,0,0.0,0.0,0.007839021199593028,-0.14935394991318895,0.48683825699529315,0.0,O:GOOGL260821P00390000,25.286396339559584,18.0,15.0,5.796,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,4,PUT,380.0,2027-01-15,63.67266002681142,60.73490006702853,100.0,0.5148709896098376,25.857999999999997,94.70224193054013,100.0,80.0,35.0,-1.0,-0.5029775806945987,0.35131252966273185,3694,0,0.0,0.0,0.004493777052932867,-0.0787082709776705,1.067775474822016,0.0,O:GOOGL270115P00380000,24.293960026811416,20.0,12.0,3.8786999999999994,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,5,PUT,380.0,2026-08-21,62.94321795703566,55.86066989258913,100.0,0.5283669558690032,13.993,84.91096663131599,100.0,100.0,35.0,-1.0,-0.6008903336868402,0.36811619693841124,1999,0,0.0,0.0,0.0081272477502086,-0.17530304395814678,0.5413718588421912,0.0,O:GOOGL260821P00380000,22.344267957035655,20.0,15.0,2.09895,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,6,PUT,380.0,2026-10-16,62.37059144552564,55.86497861381409,100.0,0.5207983451956428,10.164,89.9681792239535,100.0,100.0,35.0,-1.0,-0.550318207760465,0.3431166980127961,1452,0,0.0,0.0,0.006161609422650002,-0.10871292104447115,0.7900989460902756,0.0,O:GOOGL261016P00380000,22.345991445525637,20.0,15.0,1.5246,3.5,0.4,0.2,0.15,0.15,0.1
GOOGL,7,PUT,370.0,2026-08-21,61.76737583909793,53.93431459774483,100.0,0.448141493205051,11.291,92.74361947817118,100.0,100.0,35.0,-1.0,-0.5225638052182883,0.3573844292392305,1613,0,0.0,0.0,0.008477239392128022,-0.17529414757132689,0.5378612029027405,0.0,O:GOOGL260821P00370000,21.573725839097932,20.0,15.0,1.69365,3.5,0.4,0.2,0.15,0.15,0.1
