symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask
AMD,6,CALL,545.0,2026-07-02,73.83373188030734,86.06133069146787,0.85,70.0,98.24532276587146,100.0,60.0,50.0,0.0,0.4675467723412854,0.8263464086364782,1414,0,0.0,0.0
AMD,7,CALL,1000.0,2028-01-21,73.82650562117965,86.04819203850845,0.85,70.0,98.19276815403377,100.0,60.0,50.0,0.0,0.43192768154033767,0.7247659979789243,1019,0,0.0,0.0
AMD,8,CALL,700.0,2027-01-15,73.81852595765689,86.03368355937616,0.85,70.0,98.13473423750465,100.0,60.0,50.0,0.0,0.43134734237504646,0.7290462113794738,1614,0,0.0,0.0
AMD,9,CALL,550.0,2026-07-10,73.80148157850229,86.00269377909505,0.85,70.0,98.0107751163802,100.0,60.0,50.0,0.0,0.469892248836198,0.7114707075316489,1345,0,0.0,0.0
AMD,10,CALL,700.0,2027-03-19,73.78554359227226,85.97371562231318,0.85,70.0,97.89486248925272,100.0,60.0,50.0,0.0,0.4710513751074728,0.726609596334252,1118,0,0.0,0.0
AMZN,1,CALL,270.0,2027-03-19,74.03902756226498,86.43459556775451,0.85,70.0,99.73838227101804,100.0,60.0,50.0,0.0,0.45261617728981957,0.3855125355747229,1392,0,0.0,0.0
AMZN,2,CALL,280.0,2027-06-17,74.03602983200992,86.42914514910895,0.85,70.0,99.7165805964358,100.0,60.0,50.0,0.0,0.4528341940356419,0.39155962172271197,7743,0,0.0,0.0
AMZN,3,CALL,330.0,2028-06-16,74.02157151947904,86.4028573081437,0.85,70.0,99.6114292325748,100.0,60.0,50.0,0.0,0.44611429232574806,0.4127209103325905,1282,0,0.0,0.0
AMZN,4,CALL,260.0,2026-12-18,73.99945543965816,86.36264625392393,0.85,70.0,99.45058501569571,100.0,60.0,50.0,0.0,0.4554941498430429,0.3770398357973587,11960,0,0.0,0.0
AMZN,5,CALL,350.0,2028-12-15,73.99030135331651,86.34600246057548,0.85,70.0,99.38400984230191,100.0,60.0,50.0,0.0,0.456159901576981,0.4175692726612328,5035,0,0.0,0.0
AMZN,6,CALL,255.0,2026-10-16,73.98069422339594,86.32853495162897,0.85,70.0,99.31413980651588,100.0,60.0,50.0,0.0,0.4431413980651589,0.36795322826260074,1845,0,0.0,0.0
AMZN,7,CALL,245.0,2026-07-24,73.96972314888887,86.30858754343431,0.85,70.0,99.23435017373727,100.0,60.0,50.0,0.0,0.4423435017373727,0.33900738372630557,2221,0,0.0,0.0
AMZN,8,CALL,300.0,2027-12-17,73.96516072974154,86.30029223589372,0.85,70.0,99.20116894357491,100.0,60.0,50.0,0.0,0.4579883105642509,0.4012751121042029,7299,0,0.0,0.0
AMZN,9,CALL,310.0,2028-01-21,73.96025274856164,86.29136863374843,0.85,70.0,99.16547453499372,100.0,60.0,50.0,0.0,0.44165474534993726,0.3993386401840565,1623,0,0.0,0.0
AMZN,10,CALL,265.0,2027-01-15,73.95725589730071,86.285919813274,0.85,70.0,99.14367925309601,100.0,60.0,50.0,0.0,0.4414367925309601,0.3754317451807225,3562,0,0.0,0.0
GOOGL,1,PUT,360.0,2027-03-19,74.0466025048244,86.44836819058982,0.85,70.0,99.79347276235927,100.0,60.0,50.0,0.0,-0.4479347276235927,0.34771924095575424,1882,0,0.0,0.0
GOOGL,2,PUT,400.0,2028-12-15,73.95535281741894,86.28245966803445,0.85,70.0,99.12983867213781,100.0,60.0,50.0,0.0,-0.458701613278622,0.3611656656317674,1807,0,0.0,0.0
GOOGL,3,PUT,355.0,2026-12-18,73.93902279045624,86.29095052810223,0.85,69.78999999999999,99.37380211240891,100.0,60.0,50.0,0.0,-0.44373802112408905,0.3544095544809749,997,0,0.0,0.0
GOOGL,4,PUT,360.0,2027-01-15,73.92950046215918,86.23545538574395,0.85,70.0,98.94182154297577,100.0,60.0,50.0,0.0,-0.4605817845702423,0.3497966512124373,2938,0,0.0,0.0
GOOGL,5,PUT,350.0,2026-08-21,73.88232838145815,86.14968796628754,0.85,70.0,98.59875186515016,100.0,60.0,50.0,0.0,-0.43598751865150165,0.36640245171087105,9822,0,0.0,0.0
GOOGL,6,PUT,355.0,2026-09-18,73.84320781577924,86.07855966505313,0.85,70.0,98.31423866021254,100.0,60.0,50.0,0.0,-0.4668576133978747,0.3544985787313658,1201,0,0.0,0.0
GOOGL,7,PUT,365.0,2027-03-19,73.83887951342184,86.07069002440335,0.85,70.0,98.28276009761338,100.0,60.0,50.0,0.0,-0.46717239902386626,0.34717201466871017,2230,0,0.0,0.0
GOOGL,8,PUT,350.0,2026-09-18,73.83451332503162,86.06275150005747,0.85,70.0,98.25100600022989,100.0,60.0,50.0,0.0,-0.43251006000229897,0.35937689414133056,3012,0,0.0,0.0
GOOGL,9,PUT,360.0,2027-06-17,73.82574766102705,86.04681392914009,0.85,70.0,98.18725571656033,100.0,60.0,50.0,0.0,-0.4318725571656033,0.35434352723036966,1566,0,0.0,0.0
GOOGL,10,PUT,350.0,2026-10-16,73.78180020968476,85.9669094721541,0.85,70.0,97.86763788861637,100.0,60.0,50.0,0.0,-0.42867637888616367,0.35064955558415717,1504,0,0.0,0.0
META,1,PUT,570.0,2026-12-18,74.07447255948392,86.49904101724348,0.85,70.0,99.99616406897395,100.0,60.0,50.0,0.0,-0.4500383593102605,0.3871044304796881,2748,0,0.0,0.0
META,2,PUT,560.0,2026-07-17,74.03113086361452,86.42023793384458,0.85,70.0,99.6809517353783,100.0,60.0,50.0,0.0,-0.446809517353783,0.3521392970375597,4087,0,0.0,0.0
META,3,PUT,580.0,2027-03-19,74.01882814751245,86.39786935911354,0.85,70.0,99.59147743645416,100.0,60.0,50.0,0.0,-0.4540852256354585,0.3822649285810818,1074,0,0.0,0.0
META,4,PUT,560.0,2026-08-21,74.00014689127477,86.36390343868139,0.85,70.0,99.45561375472558,100.0,60.0,50.0,0.0,-0.44455613754725576,0.41678586241390403,2793,0,0.0,0.0
META,5,PUT,570.0,2027-01-15,73.99472654987807,86.35404827250557,0.85,70.0,99.41619309002223,100.0,60.0,50.0,0.0,-0.4441619309002223,0.38467068403111676,3029,0,0.0,0.0
META,6,PUT,600.0,2027-12-17,73.94493801628043,86.26352366596441,0.85,70.0,99.05409466385768,100.0,60.0,50.0,0.0,-0.4405409466385769,0.3873710697250432,2351,0,0.0,0.0
META,7,PUT,560.0,2026-09-18,73.92521152917195,86.22765732576715,0.85,70.0,98.9106293030686,100.0,60.0,50.0,0.0,-0.439106293030686,0.3978465424838243,2734,0,0.0,0.0
META,8,PUT,600.0,2028-01-21,73.91702647123181,86.21277540223964,0.85,70.0,98.85110160895856,100.0,60.0,50.0,0.0,-0.4385110160895856,0.3790658683417336,1910,0,0.0,0.0
META,9,PUT,580.0,2027-06-17,73.89571681443475,86.17403057169953,0.85,70.0,98.69612228679814,100.0,60.0,50.0,0.0,-0.4369612228679814,0.38369382501098215,2193,0,0.0,0.0
META,10,PUT,560.0,2026-10-16,73.85403066790104,86.0982375780019,0.85,70.0,98.39295031200759,100.0,60.0,50.0,0.0,-0.43392950312007594,0.3907249139635835,1479,0,0.0,0.0
MSFT,1,CALL,390.0,2026-10-16,74.0619479580491,86.47626901463474,0.85,70.0,99.90507605853897,100.0,60.0,50.0,0.0,0.45094923941461035,0.38795926813936393,1320,0,0.0,0.0
MSFT,2,CALL,410.0,2027-03-19,74.04919870834269,86.45308856062307,0.85,70.0,99.81235424249229,100.0,60.0,50.0,0.0,0.4518764575750772,0.38193273560014895,1360,0,0.0,0.0
MSFT,3,CALL,500.0,2028-12-15,74.03807251952017,86.43285912640029,0.85,70.0,99.73143650560115,100.0,60.0,50.0,0.0,0.44731436505601146,0.38554490699709904,4067,0,0.0,0.0
MSFT,4,CALL,395.0,2026-11-20,74.03704783022081,86.43099605494692,0.85,70.0,99.72398421978764,100.0,60.0,50.0,0.0,0.4527601578021237,0.3918950225114919,1235,0,0.0,0.0
MSFT,5,CALL,470.0,2028-06-16,74.0350452294281,86.42735496259657,0.85,70.0,99.70941985038628,100.0,60.0,50.0,0.0,0.45290580149613713,0.3845516185758485,2231,0,0.0,0.0
MSFT,6,CALL,375.0,2026-07-17,74.02010889960604,86.40019799928369,0.85,70.0,99.60079199713475,100.0,60.0,50.0,0.0,0.44600791997134753,0.3647785352840437,5866,0,0.0,0.0
MSFT,7,CALL,400.0,2026-12-18,74.0185825175488,86.39742275917962,0.85,70.0,99.58969103671845,100.0,60.0,50.0,0.0,0.4458969103671844,0.3853241277539835,6445,0,0.0,0.0
MSFT,8,CALL,450.0,2027-12-17,74.01519102927925,86.39125641687136,0.85,70.0,99.56502566748543,100.0,60.0,50.0,0.0,0.4456502566748543,0.38564365960979546,1836,0,0.0,0.0
MSFT,9,CALL,450.0,2028-01-21,74.00739315207292,86.37707845831439,0.85,70.0,99.50831383325756,100.0,60.0,50.0,0.0,0.4549168616674245,0.3877659097937463,3505,0,0.0,0.0
MSFT,10,CALL,420.0,2027-06-17,73.98474006240048,86.3358910225463,0.85,70.0,99.34356409018521,100.0,60.0,50.0,0.0,0.45656435909814785,0.38423371918964805,2937,0,0.0,0.0
NVDA,1,PUT,195.0,2026-09-18,74.07491966733929,86.49985394061687,0.85,70.0,99.99941576246752,100.0,60.0,50.0,0.0,-0.4500058423753249,0.41023256435468314,12010,0,0.0,0.0
NVDA,2,PUT,205.0,2027-06-17,74.05973910015842,86.47225290937894,0.85,70.0,99.88901163751574,100.0,60.0,50.0,0.0,-0.45110988362484267,0.4103875588141021,3883,0,0.0,0.0
NVDA,3,PUT,220.0,2028-06-16,74.04930408520173,86.45328015491224,0.85,70.0,99.81312061964893,100.0,60.0,50.0,0.0,-0.4518687938035107,0.41279237473467223,6089,0,0.0,0.0
NVDA,4,PUT,225.0,2028-12-15,73.99423560605065,86.35315564736482,0.85,70.0,99.41262258945926,100.0,60.0,50.0,0.0,-0.44412622589459255,0.41494528751219406,1164,0,0.0,0.0
NVDA,5,PUT,210.0,2027-09-17,73.98307622338208,86.33286586069471,0.85,70.0,99.33146344277881,100.0,60.0,50.0,0.0,-0.45668536557221195,0.41159371697369723,1075,0,0.0,0.0
NVDA,6,PUT,215.0,2028-01-21,73.97962159900203,86.32658472545823,0.85,70.0,99.30633890183292,100.0,60.0,50.0,0.0,-0.4569366109816709,0.409187195520899,3398,0,0.0,0.0
NVDA,7,PUT,195.0,2026-10-16,73.97735074776514,86.32245590502754,0.85,70.0,99.28982362011014,100.0,60.0,50.0,0.0,-0.44289823620110147,0.40732225153130813,9508,0,0.0,0.0
NVDA,8,PUT,200.0,2027-01-15,73.97061054219702,86.31020098581274,0.85,70.0,99.240803943251,100.0,60.0,50.0,0.0,-0.4575919605674902,0.40755987263072646,56995,0,0.0,0.0
NVDA,9,PUT,200.0,2027-03-19,73.96866209543414,86.30665835533479,0.85,70.0,99.22663342133917,100.0,60.0,50.0,0.0,-0.44226633421339173,0.4119901186032928,10532,0,0.0,0.0
NVDA,10,PUT,210.0,2027-12-17,73.94775739983004,86.2686498178728,0.85,70.0,99.07459927149118,100.0,60.0,50.0,0.0,-0.44074599271491177,0.4132276990883333,3020,0,0.0,0.0
TSLA,1,PUT,420.0,2027-01-15,74.06178136716424,86.4759661221168,0.85,70.0,99.90386448846724,100.0,60.0,50.0,0.0,-0.45096135511532753,0.4527758860766732,2540,0,0.0,0.0
TSLA,2,PUT,460.0,2027-12-17,74.05528013600215,86.46414570182208,0.85,70.0,99.85658280728829,100.0,60.0,50.0,0.0,-0.4514341719271171,0.47882898050339867,1067,0,0.0,0.0
TSLA,3,PUT,410.0,2026-09-18,74.02768281474447,86.41396875408084,0.85,70.0,99.65587501632335,100.0,60.0,50.0,0.0,-0.45344124983676654,0.44159920139716696,2265,0,0.0,0.0
TSLA,4,PUT,500.0,2028-12-15,73.99878478865108,86.3614268884565,0.85,70.0,99.44570755382604,100.0,60.0,50.0,0.0,-0.4444570755382604,0.4893894670313017,5629,0,0.0,0.0
TSLA,5,PUT,440.0,2027-06-17,73.97725441539107,86.32228075525649,0.85,70.0,99.28912302102594,100.0,60.0,50.0,0.0,-0.4571087697897405,0.4667352462028609,2147,0,0.0,0.0
TSLA,6,PUT,420.0,2026-12-18,73.95227603179336,86.27686551235155,0.85,70.0,99.1074620494062,100.0,60.0,50.0,0.0,-0.45892537950593815,0.4532224222344644,2113,0,0.0,0.0
TSLA,7,PUT,407.5,2026-07-17,73.93439951635187,86.24436275700339,0.85,70.0,98.97745102801352,100.0,60.0,50.0,0.0,-0.4602254897198648,0.41403951761313934,1129,0,0.0,0.0
TSLA,8,PUT,430.0,2027-06-17,73.88169011267655,86.14852747759372,0.85,70.0,98.59410991037487,100.0,60.0,50.0,0.0,-0.43594109910374873,0.4686810862723986,1327,0,0.0,0.0
TSLA,9,PUT,410.0,2026-08-21,73.88155069110162,86.14827398382113,0.85,70.0,98.59309593528451,100.0,60.0,50.0,0.0,-0.4640690406471549,0.44229512857668,2722,0,0.0,0.0
TSLA,10,PUT,450.0,2027-12-17,73.86269796432427,86.11399629877138,0.85,70.0,98.45598519508552,100.0,60.0,50.0,0.0,-0.4345598519508551,0.4799712737611267,2583,0,0.0,0.0
