component_path,state,horizon_sessions,count,accuracy,accuracy_risk_difference_vs_all_bearish,mean_directional_return,mean_return_difference_vs_all_bearish,odds_ratio_correct_vs_all_other_bearish
structure.trend,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
structure.trend,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
structure.trend,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
breakout.state,BREAKDOWN_CONFIRMED,5,7464,0.48258306538049306,0.02124643511742552,-0.40576998645582085,-0.3811945294821598,1.0940604606166542
breakout.state,BREAKDOWN_SETUP,5,5848,0.493844049247606,0.03250741898453846,-0.0010109928680215544,0.023564464105639463,1.145471456958502
breakout.state,BREAKOUT_CONFIRMED,5,13599,0.4433414221633944,-0.017995208099673143,-0.007553004517106087,0.017022452456554926,0.9230314474188657
breakout.state,BREAKOUT_SETUP,5,3899,0.44216465760451396,-0.019171972658553582,-0.007044268863167628,0.01753118811049339,0.9235942693644008
breakout.state,FAILED_BREAKDOWN,5,5302,0.5288570350811015,0.06752040481803395,0.006710062145506091,0.031285519119167104,1.3241481140383589
breakout.state,FAILED_BREAKOUT,5,7054,0.45591153955202723,-0.0054250907110403035,-0.0063784562679483,0.018197000705712715,0.9773233942071646
breakout.state,NONE,5,102424,0.45792978208232443,-0.003406848180743105,-0.003942098744949194,0.02063335822871182,0.9548418690317391
breakout.state,BREAKDOWN_CONFIRMED,10,7462,0.44103457518091665,-0.0003367716972622059,-0.4024231891346335,-0.37455316471342165,0.9985915050902772
breakout.state,BREAKDOWN_SETUP,10,5842,0.48373844573776104,0.042367098859582175,-0.009397836915811485,0.01847218750540037,1.1945026232650349
breakout.state,BREAKOUT_CONFIRMED,10,13590,0.41994113318616627,-0.02143021369201259,-0.014850386359087045,0.013019638062124809,0.9081509891012993
breakout.state,BREAKOUT_SETUP,10,3899,0.4242113362400616,-0.017160010638117285,-0.01241515798675252,0.015454866434459334,0.9307645674298981
breakout.state,FAILED_BREAKDOWN,10,5300,0.4911320754716981,0.049760728593519266,-0.001139826163095497,0.02673019825811636,1.2309190977240079
breakout.state,FAILED_BREAKOUT,10,7053,0.41060541613497803,-0.03076593074320083,-0.01214767205583325,0.015722352365378604,0.8761930272577934
breakout.state,NONE,10,102346,0.4420202059679909,0.0006488590898120483,-0.006401222629331567,0.021468801791880286,1.0089120613014397
breakout.state,BREAKDOWN_CONFIRMED,20,7456,0.42905042918454933,0.0018862809038209805,-0.41898087239124754,-0.37132512338157597,1.0081915453741617
breakout.state,BREAKDOWN_SETUP,20,5836,0.46778615490061687,0.04062200661988852,-0.29702754954433014,-0.24937180053465857,1.186928495406617
breakout.state,BREAKOUT_CONFIRMED,20,13551,0.413622610877426,-0.013541537403302328,-0.02761855389741112,0.02003719511226046,0.9405919297088998
breakout.state,BREAKOUT_SETUP,20,3894,0.4252696456086287,-0.0018945026720996738,-0.019851125170592603,0.027804623839078977,0.9921474214566154
breakout.state,FAILED_BREAKDOWN,20,5290,0.4379962192816635,0.01083207100093514,-0.014879694352502226,0.03277605465716935,1.0469186175590661
breakout.state,FAILED_BREAKOUT,20,7044,0.4134014764338444,-0.013762671846883956,-0.02413870016538165,0.023517048844289932,0.9424167104233971
breakout.state,NONE,20,102194,0.4269624439790986,-0.00020170430162974595,-0.013357264847566594,0.034298484162104986,0.9972200203647481
participation.state,ACCUMULATION,5,5599,0.48883729237363815,0.027500662110570617,-0.0006333978776262891,0.023942059096034727,1.1215798277329023
participation.state,CAPITULATION,5,3269,0.46222086264912815,0.0008842323860606127,-0.5291693442161949,-0.5045938872425338,1.0036916311434894
participation.state,DISTRIBUTION,5,42614,0.45332519829164125,-0.008011431971426286,-0.007175453000155648,0.017400003973505367,0.9554117359369053
participation.state,NEUTRAL,5,47220,0.46827615417196106,0.006939523908893519,-0.028986723448013344,-0.004411266474352329,1.0421747221957436
participation.state,RE_ACCUMULATION,5,12531,0.47809432607134306,0.01675769580827552,-0.003069295150947532,0.021506161822713483,1.0764214473236076
participation.state,RE_DISTRIBUTION,5,34295,0.45094037031637263,-0.010396259946694908,-0.003812459832965836,0.02076299714069518,0.9466842471791646
participation.state,SHORT_COVERING,5,62,0.5161290322580645,0.054792401994996964,-0.01294059619183773,0.011634860781823285,1.2442950040712253
participation.state,ACCUMULATION,10,5598,0.46195069667738475,0.020579349799205893,-0.006704282158303385,0.021165742262908467,1.0903214374813948
participation.state,CAPITULATION,10,3269,0.45457326399510556,0.013201917116926698,-0.5026357298986707,-0.47476570547745883,1.0561963676447383
participation.state,DISTRIBUTION,10,42580,0.43168154062940345,-0.009689806248775412,-0.013049391886827934,0.01482063253438392,0.9458832288096797
participation.state,NEUTRAL,10,47189,0.4463328318040221,0.004961484925843251,-0.03135212553821207,-0.003482101117000213,1.0302142482698013
participation.state,RE_ACCUMULATION,10,12526,0.4584065144499441,0.017035167571765264,-0.005555136974430662,0.022314887446781194,1.0782741399558056
participation.state,RE_DISTRIBUTION,10,34268,0.4358877086494689,-0.005483638228709953,-0.007809917049599482,0.020060107371612373,0.9713054699997652
