family,state,horizon_sessions,count,accuracy,mean,median,p25,p75,eligible_for_interpretation
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::False,20,22840,0.4181260945709282,-0.0978325444623623,-0.016054278788622645,-0.07628955353272637,0.039503149205098675,True
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::True,5,2474,0.4660468876313662,-0.018667182808250245,-0.005174338762143793,-0.059538274605103414,0.046008119079837706,True
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::True,10,2472,0.42839805825242716,-0.0367402999906198,-0.018657171618117308,-0.0923076923076922,0.05294467578822126,True
OVERLAY::BREAKDOWN_CONFIRMED,PERSISTENT_LATE::True,20,2469,0.40137707573916565,-0.08525946287172015,-0.03413885692366714,-0.14186002691790045,0.06187624750498999,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::False,5,50220,0.46336121067303865,-0.027538784862026534,-0.003064321497787681,-0.029141386284243342,0.022293849046467806,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::False,10,50189,0.4484648030444918,-0.02985617703744419,-0.006175562417291447,-0.042129532592747765,0.02866414277988094,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::False,20,50099,0.4374338809157867,-0.03439048836064561,-0.01130524152106882,-0.06434822662367568,0.040502131691141696,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::True,5,1534,0.4817470664928292,-1.1235809138062447,-0.0015356907601146164,-0.03360724820901817,0.02622377622377614,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::True,10,1534,0.4706649282920469,-1.0688951185854,-0.004837356921348568,-0.0487063006122852,0.04907618190481222,True
OVERLAY::CAPITULATION,EARLY_TRANSITION::True,20,1533,0.4461839530332681,-1.07551858487364,-0.014838709677419404,-0.08087961237420815,0.049429657794676785,True
OVERLAY::CAPITULATION,ESTABLISHED::False,5,67117,0.4597493928512895,-0.00366764120531893,-0.003441885093989905,-0.03041929295697443,0.0230225080385853,True
OVERLAY::CAPITULATION,ESTABLISHED::False,10,67071,0.43673122511964935,-0.007498003954998494,-0.008034145116746272,-0.04621394730280115,0.029903880384478443,True
OVERLAY::CAPITULATION,ESTABLISHED::False,20,66990,0.42337662337662335,-0.016098914958949776,-0.01413705139913235,-0.06925048381191479,0.04004565775706259,True
OVERLAY::CAPITULATION,ESTABLISHED::True,5,1338,0.4514200298953662,-0.0023624063238977876,-0.0072154830737964915,-0.04367075870396464,0.03539325842696628,True
OVERLAY::CAPITULATION,ESTABLISHED::True,10,1338,0.4491778774289985,-0.0002884290633722269,-0.01160072156983638,-0.05925370335645974,0.047896961159186846,True
OVERLAY::CAPITULATION,ESTABLISHED::True,20,1334,0.4122938530734633,-0.020649228221851834,-0.025837574313069545,-0.10094212651413192,0.060311284046692615,True
OVERLAY::CAPITULATION,PERSISTENT_LATE::False,5,24984,0.4614153057957093,-0.008762701889379212,-0.00314749389293012,-0.03392779469334495,0.025293028994447964,True
OVERLAY::CAPITULATION,PERSISTENT_LATE::False,10,24963,0.4378480150622922,-0.016440295615677853,-0.008407398510689168,-0.051037577117218236,0.03206456538335689,True
OVERLAY::CAPITULATION,PERSISTENT_LATE::False,20,24914,0.41731556554547644,-0.09767151920846127,-0.017066367928608828,-0.08050447901933055,0.04102665741750078,True
OVERLAY::CAPITULATION,PERSISTENT_LATE::True,5,397,0.42317380352644834,-0.007860364742042027,-0.009655348807468433,-0.05418250950570358,0.03378378378378377,False
OVERLAY::CAPITULATION,PERSISTENT_LATE::True,10,397,0.4105793450881612,-0.007670456025100275,-0.020287425511190893,-0.07225396825396824,0.047144754316069126,False
OVERLAY::CAPITULATION,PERSISTENT_LATE::True,20,395,0.36455696202531646,-0.029399239977285215,-0.03772764254683336,-0.11368977673325498,0.05050505050505061,False
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::False,5,35176,0.460910848305663,-0.0026908384308993315,-0.0027494108670437223,-0.025077621208502432,0.018565731842845046,True
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::False,10,35152,0.4451809285389167,-0.004448303415825044,-0.005521170980900103,-0.0362433028679483,0.024289263041678222,True
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::False,20,35096,0.43825507180305445,-0.00826222972677462,-0.009526792132979134,-0.055596330275229366,0.03499755261869797,True
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::True,5,16578,0.4702617927373628,-0.18168162413466263,-0.0039189071423514354,-0.043068217541653686,0.0341992765537652,True
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::True,10,16571,0.4574859694647275,-0.1799390513287797,-0.008249182193144522,-0.05992287155146836,0.044360902255639156,True
OVERLAY::DRAWDOWN_63_GE_15PCT,EARLY_TRANSITION::True,20,16536,0.4365021770682148,-0.1863647709543053,-0.018061462032592734,-0.09368046283934128,0.05859750240153694,True
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::False,5,33828,0.45506680856095544,-0.0024658580321776083,-0.0029403722697135537,-0.02327586206896548,0.01724137931034475,True
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::False,10,33799,0.4386520311251812,-0.004592834454137617,-0.005920344456404658,-0.035547163615466726,0.02383192223267483,True
