balanced_accuracy,elapsed_seconds,family,fold_id,horizon,l2_penalty,spline_knots,status,test_count,train_count
0.5127828060087031,5.4132742919027805,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,10.0,4,EVALUATED,44788,80497
0.5259151295356377,11.100733874947764,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,0.1,6,EVALUATED,44788,80497
0.5293218593988998,6.8125629590358585,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,1.0,6,EVALUATED,44788,80497
0.516675411732162,5.770626667072065,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,10.0,6,EVALUATED,44788,80497
0.5253336733701601,12.752026458038017,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,0.1,8,EVALUATED,44788,80497
0.5277856097380829,7.218404792016372,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,1.0,8,EVALUATED,44788,80497
0.518649068920467,6.157164000091143,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,10.0,8,EVALUATED,44788,80497
0.5071477857179124,35.72249075002037,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,0.1,4,EVALUATED,46838,124793
0.5038583585590459,20.93888487503864,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,1.0,4,EVALUATED,46838,124793
0.5026994911770208,18.988971499959007,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,10.0,4,EVALUATED,46838,124793
0.5072930853762915,46.0367533339886,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,0.1,6,EVALUATED,46838,124793
0.504138618231068,21.564069458981976,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,1.0,6,EVALUATED,46838,124793
0.5028909497977208,26.996261041029356,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,10.0,6,EVALUATED,46838,124793
0.5075640779384111,58.98279991699383,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,0.1,8,EVALUATED,46838,124793
0.5042373109533048,21.67106545798015,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,1.0,8,EVALUATED,46838,124793
0.5028640379098125,19.311938792001456,MF2_MONOTONIC_GAM_DIRECTION,WF2,20,10.0,8,EVALUATED,46838,124793
0.5055871294133568,391.540429207962,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,0.1,4,EVALUATED,49736,171944
0.5018914390276364,208.90239858301356,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,1.0,4,EVALUATED,49736,171944
0.501938535843217,145.56542354205158,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,10.0,4,EVALUATED,49736,171944
0.505664480757169,542.2217221659375,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,0.1,6,EVALUATED,49736,171944
0.5019022264853864,221.48660033394117,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,1.0,6,EVALUATED,49736,171944
0.501957920169479,138.21825987496413,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,10.0,6,EVALUATED,49736,171944
0.5054405484547565,572.0210612909868,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,0.1,8,EVALUATED,49736,171944
0.5020924119416779,281.6065183749888,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,1.0,8,EVALUATED,49736,171944
0.501996688822003,147.08469370903913,MF2_MONOTONIC_GAM_DIRECTION,WF3,20,10.0,8,EVALUATED,49736,171944
0.49910609801402883,622.3194378330372,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,0.1,4,EVALUATED,52707,221567
0.5003309961134245,278.96352850005496,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,1.0,4,EVALUATED,52707,221567
