symbol,asset_type,horizon_sessions,directional_evaluable_count,directional_hit_count,directional_accuracy,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,always_bullish_accuracy,previous_period_direction_accuracy,edge_vs_random_50_50,edge_vs_always_bullish,edge_vs_previous_period_direction,mean_directional_return,median_directional_return,payoff_ratio
MNST,EQUITY,5,740,399,0.5391891891891892,510,0.5627450980392157,230,0.48695652173913045,168,0.5374449339207048,0.48233995584988965,0.03918918918918923,0.0017442552684844292,0.05684923333929959,-0.008288589728304043,0.0028438240539631066,0.5714590631360436
MNST,EQUITY,10,740,396,0.5351351351351351,510,0.5725490196078431,230,0.45217391304347826,167,0.5545755237045203,0.5309050772626932,0.03513513513513511,-0.019440388569385236,0.004230057872441906,-0.015477060295318493,0.003357968239525,0.5285018185930795
MNST,EQUITY,20,739,402,0.543978349120433,509,0.5854616895874263,230,0.45217391304347826,166,0.5679558011049723,0.5215469613259669,0.04397834912043297,-0.023977451984539377,0.022431387794466073,-0.03447808817433027,0.009581032802858047,0.4270223488594882
MO,EQUITY,5,920,473,0.5141304347826087,623,0.5537720706260032,297,0.43097643097643096,215,0.5541850220264317,0.5159010600706714,0.01413043478260867,-0.04005458724382305,-0.0017706252880627105,0.00020194769787963032,0.0014213856182258011,0.9618797865002736
MO,EQUITY,10,919,461,0.5016322089227421,623,0.5425361155698234,296,0.4155405405405405,215,0.5511463844797179,0.5013262599469496,0.0016322089227420733,-0.04951417555697579,0.0003059489757925027,0.0015187488842149637,0.0002629503023927615,1.087438823940511
MO,EQUITY,20,919,457,0.4972796517954298,623,0.5473515248796148,296,0.3918918918918919,213,0.573321554770318,0.49689991142604073,-0.0027203482045701777,-0.07604190297488816,0.00037974036938909217,0.0016999750762597605,-0.0004616805170821747,1.0837580609779578
MOS,EQUITY,5,839,421,0.5017878426698451,409,0.5256723716381418,430,0.4790697674418605,238,0.5246053853296193,0.4762790697674419,0.0017878426698451078,-0.022817542659774204,0.02550877290240322,0.0007676001234814994,0.0003374957813027102,1.0258856529521465
MOS,EQUITY,10,838,416,0.4964200477326969,409,0.5207823960880196,429,0.4731934731934732,238,0.5148698884758365,0.4934823091247672,-0.0035799522673031214,-0.0184498407431396,0.002937738607929674,0.0015507854070606062,-0.000978696024252601,1.0635340229001313
MOS,EQUITY,20,837,429,0.5125448028673835,409,0.5550122249388753,428,0.4719626168224299,237,0.5251396648044693,0.5088536812674743,0.012544802867383464,-0.01259486193708581,0.003691121599909142,0.005945640957224459,0.00248447204968949,1.0789752858402433
MPC,EQUITY,5,568,290,0.5105633802816901,421,0.5439429928741093,147,0.41496598639455784,160,0.5618131868131868,0.48760330578512395,0.010563380281690127,-0.05124980653149669,0.022960074496566174,0.0019147828135128622,0.0015250239355107942,1.0584715968005922
MPC,EQUITY,10,567,308,0.5432098765432098,420,0.5857142857142857,147,0.4217687074829932,160,0.5900962861072903,0.5364511691884457,0.043209876543209846,-0.04688640956408041,0.006758707354764137,0.0036393234032148047,0.005471380471380405,0.9600401824169961
