symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
AOS,293,126,99,68,293,293,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AOS.jsonl.gz,4ee954562e5d6fa597f2afd329c4194652ed653c548e1aa5673b1fe1b07e8885
APA,419,243,91,85,419,419,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APA.jsonl.gz,afaac83e53046813851ac2de6bb8eaa181c8e5ef51e111c5a4e3b10597a3b1ec
APD,256,132,61,63,256,256,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APD.jsonl.gz,3b72c0afe048fab7f3827fc3356fc0eb1c20ee1f5483b18de5d049946e2ae836
APH,162,86,56,20,162,162,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APH.jsonl.gz,aab68c792e48d844461eee8503d0ed7ba6ede017da01cdcf771c1576bf44ddda
APO,187,84,59,44,187,187,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APO.jsonl.gz,4c3a15df96ef8f39530a42cb82b16961a3ddc03f92868ec222ba3c593dbc6cac
APP,51,0,26,25,51,51,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APP.jsonl.gz,8110c4b11935e69fbcc45ef4e4fc52d30e75ed5096998b9206e4f3339fbb4c94
APTV,149,0,54,95,149,149,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/APTV.jsonl.gz,f2cc08f23f0c41fffc25bb62efbfd8b4fdc854057aee0c45674b81ed006e81fe
ARE,331,152,59,120,331,331,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ARE.jsonl.gz,75d64924cd8220bbc898e2ba0e64306a89fc54a100a12da2f0bdc8de1ae85cd1
ARES,114,45,38,31,114,114,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ARES.jsonl.gz,23345fec128c0c44d27a798869b86ff7527fb1e6070c4221749c5c8abe07610f
ARKK,152,13,88,51,151,152,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ARKK.jsonl.gz,5580f087682839d24c237157892eaa472b4cab4eace0f776272142c33fde2624
ARM,28,0,0,28,28,28,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ARM.jsonl.gz,d70443b6f90560d5cf9573beffbe9579bc9cf215728978a86780149c13df6093
ASML,235,138,56,41,235,235,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ASML.jsonl.gz,3d920842606989c8bb507d219f4c94e41d3d3308b28760b8049eba028da7998c
