symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
CIBR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CIBR 2016-09-16: native profile missing direction/score/confidence
CIEN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CIEN 2008-01-04: native profile missing direction/score/confidence
CINF,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CINF 2004-11-19: native profile missing direction/score/confidence
CL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CL 2004-11-19: native profile missing direction/score/confidence
CLX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CLX 2004-11-19: native profile missing direction/score/confidence
CMCSA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CMCSA 2006-01-20: native profile missing direction/score/confidence
CME,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CME 2004-11-19: native profile missing direction/score/confidence
CMG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CMG 2007-04-05: native profile missing direction/score/confidence
CMI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CMI 2005-02-18: native profile missing direction/score/confidence
CMS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CMS 2004-11-19: native profile missing direction/score/confidence
CNC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CNC 2004-12-23: native profile missing direction/score/confidence
CNP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CNP 2004-11-19: native profile missing direction/score/confidence
COF,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COF 2004-11-19: native profile missing direction/score/confidence
COHR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COHR 2004-11-19: native profile missing direction/score/confidence
COIN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COIN 2022-06-24: native profile missing direction/score/confidence
COO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COO 2004-11-19: native profile missing direction/score/confidence
COP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COP 2004-11-19: native profile missing direction/score/confidence
COR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COR 2024-11-08: native profile missing direction/score/confidence
COST,,WEEKLY,REPLAY_FAILED,,,,,,,,False,COST 2004-11-19: native profile missing direction/score/confidence
CPAY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CPAY 2025-06-06: native profile missing direction/score/confidence
CPRT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CPRT 2004-11-19: native profile missing direction/score/confidence
CPT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CPT 2004-11-19: native profile missing direction/score/confidence
CRH,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CRH 2024-12-06: native profile missing direction/score/confidence
CRL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CRL 2004-11-19: native profile missing direction/score/confidence
CRM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CRM 2005-09-02: native profile missing direction/score/confidence
CRWD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CRWD 2020-08-21: native profile missing direction/score/confidence
CRWV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CRWV 2026-06-12: native profile missing direction/score/confidence
CSCO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CSCO 2004-11-19: native profile missing direction/score/confidence
CSGP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CSGP 2004-11-19: native profile missing direction/score/confidence
CSX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CSX 2004-11-19: native profile missing direction/score/confidence
CTAS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CTAS 2004-11-19: native profile missing direction/score/confidence
CTSH,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CTSH 2004-11-19: native profile missing direction/score/confidence
CTVA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CTVA 2020-08-07: native profile missing direction/score/confidence
CVNA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CVNA 2018-07-06: native profile missing direction/score/confidence
CVS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CVS 2004-11-19: native profile missing direction/score/confidence
CVX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CVX 2004-11-19: native profile missing direction/score/confidence
D,,WEEKLY,REPLAY_FAILED,,,,,,,,False,D 2004-11-19: native profile missing direction/score/confidence
DAL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DAL 2004-11-19: native profile missing direction/score/confidence
DASH,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DASH 2022-02-18: native profile missing direction/score/confidence
DBA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DBA 2008-03-14: native profile missing direction/score/confidence
DD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DD 2004-11-19: native profile missing direction/score/confidence
