relative_path,parse_mode,top_level_type,size_bytes,date_keys,close_keys,error
daily_bars/EFX.daily.csv.gz,UNKNOWN_TEXT,,129753,,,
daily_bars/EG.daily.csv.gz,UNKNOWN_TEXT,,19603,,,
daily_bars/EIX.daily.csv.gz,UNKNOWN_TEXT,,128839,,,
daily_bars/EL.daily.csv.gz,UNKNOWN_TEXT,,134459,,,
daily_bars/ELV.daily.csv.gz,UNKNOWN_TEXT,,27656,,,
daily_bars/EME.daily.csv.gz,UNKNOWN_TEXT,,125730,,,
daily_bars/EMR.daily.csv.gz,UNKNOWN_TEXT,,132649,,,
daily_bars/EOG.daily.csv.gz,UNKNOWN_TEXT,,138869,,,
daily_bars/EQIX.daily.csv.gz,UNKNOWN_TEXT,,138073,,,
daily_bars/EQR.daily.csv.gz,UNKNOWN_TEXT,,129314,,,
daily_bars/EQT.daily.csv.gz,UNKNOWN_TEXT,,147583,,,
daily_bars/ERIE.daily.csv.gz,UNKNOWN_TEXT,,121930,,,
daily_bars/ES.daily.csv.gz,UNKNOWN_TEXT,,93859,,,
daily_bars/ESS.daily.csv.gz,UNKNOWN_TEXT,,131155,,,
daily_bars/ETHA.daily.csv.gz,UNKNOWN_TEXT,,13310,,,
daily_bars/ETN.daily.csv.gz,UNKNOWN_TEXT,,135628,,,
daily_bars/ETR.daily.csv.gz,UNKNOWN_TEXT,,130580,,,
daily_bars/EVRG.daily.csv.gz,UNKNOWN_TEXT,,47445,,,
daily_bars/EW.daily.csv.gz,UNKNOWN_TEXT,,133978,,,
daily_bars/EWJ.daily.csv.gz,UNKNOWN_TEXT,,127009,,,
daily_bars/EWZ.daily.csv.gz,UNKNOWN_TEXT,,135027,,,
daily_bars/EXC.daily.csv.gz,UNKNOWN_TEXT,,129717,,,
daily_bars/EXE.daily.csv.gz,UNKNOWN_TEXT,,12375,,,
daily_bars/EXPD.daily.csv.gz,UNKNOWN_TEXT,,131128,,,
daily_bars/EXPE.daily.csv.gz,UNKNOWN_TEXT,,91456,,,
daily_bars/EXR.daily.csv.gz,UNKNOWN_TEXT,,120959,,,
daily_bars/F.daily.csv.gz,UNKNOWN_TEXT,,126897,,,
daily_bars/FANG.daily.csv.gz,UNKNOWN_TEXT,,84989,,,
daily_bars/FAST.daily.csv.gz,UNKNOWN_TEXT,,132545,,,
daily_bars/FBTC.daily.csv.gz,UNKNOWN_TEXT,,17012,,,
daily_bars/FCX.daily.csv.gz,UNKNOWN_TEXT,,136513,,,
