date,equity,pnl,symbol,exit_reason
2026-04-29,97692.69999999995,-35.399999999999764,AAPL,TIME_STOP
2026-04-29,97838.19999999995,145.49999999999966,AMZN,TIME_STOP
2026-04-30,97970.19999999995,131.99999999999966,AAPL,TIME_STOP
2026-04-30,98030.04999999996,59.84999999999994,AMZN,TIME_STOP
2026-05-03,98189.79999999996,159.75,AMZN,TIME_STOP
2026-05-04,98393.34999999996,203.55000000000078,AMZN,TIME_STOP
2026-05-05,98568.39999999997,175.05000000000007,AMZN,TIME_STOP
2026-05-06,98655.84999999996,87.45000000000063,AMZN,TIME_STOP
2026-05-07,98717.94999999997,62.10000000000002,AMZN,TIME_STOP
2026-05-10,98951.49999999997,233.55000000000013,AAPL,TIME_STOP
2026-05-10,98901.39999999997,-50.10000000000014,AMZN,TIME_STOP
2026-05-11,98781.24999999997,-120.15000000000049,AMZN,TIME_STOP
2026-05-11,98639.49999999997,-141.75000000000023,AMZN,STOP_LOSS
2026-05-12,98805.69999999997,166.1999999999999,AAPL,TIME_STOP
2026-05-13,98963.04999999997,157.34999999999974,AAPL,TIME_STOP
2026-05-13,98899.59999999998,-63.44999999999994,AMZN,TIME_STOP
2026-05-14,98999.04999999997,99.45000000000037,AAPL,TIME_STOP
2026-05-14,98866.74999999997,-132.29999999999987,AMZN,STOP_LOSS
2026-05-17,98939.94999999997,73.19999999999973,AAPL,TIME_STOP
2026-05-17,98873.79999999997,-66.14999999999951,AMZN,TIME_STOP
2026-05-18,98932.14999999998,58.350000000000236,AAPL,TIME_STOP
2026-05-18,98830.74999999999,-101.40000000000049,AMZN,TIME_STOP
2026-05-18,98664.69999999998,-166.0500000000006,AMZN,STOP_LOSS
2026-05-19,98711.19999999998,46.50000000000014,AAPL,TIME_STOP
2026-05-20,98808.69999999998,97.50000000000065,AAPL,TIME_STOP
2026-05-21,98933.34999999998,124.64999999999974,AAPL,TIME_STOP
2026-05-21,98961.84999999998,28.499999999999996,AMZN,TIME_STOP
2026-05-25,99114.99999999997,153.14999999999992,AAPL,TIME_STOP
2026-05-25,99117.24999999997,2.249999999999889,AMZN,TIME_STOP
2026-05-26,99291.24999999997,173.99999999999983,AAPL,TIME_STOP
2026-05-27,99440.94999999997,149.7,AAPL,TIME_STOP
2026-05-28,99542.79999999997,101.85000000000011,AAPL,TIME_STOP
2026-05-31,99500.94999999997,-41.850000000000186,AAPL,TIME_STOP
2026-05-31,99466.44999999997,-34.49999999999973,AAPL,TIME_STOP
2026-05-31,99394.14999999997,-72.30000000000062,AAPL,TIME_STOP
2026-05-31,99296.94999999997,-97.20000000000014,AAPL,TIME_STOP
2026-05-31,99206.49999999997,-90.45000000000043,AAPL,TIME_STOP
