symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-03-12,2026-03-26,LONG_PUT,PUT,250.12,STOCK_PROXY,250.12,248.8,1,130.5999999999993,0.005221493683032117,212.99999999999955,-410.9999999999985,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-15,2026-03-29,LONG_PUT,PUT,252.82,STOCK_PROXY,252.82,246.63,1,617.5999999999998,0.024428447116525583,618.9999999999998,-140.99999999999966,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-16,2026-03-30,LONG_PUT,PUT,254.23,STOCK_PROXY,254.23,253.79,1,42.599999999999774,0.001675648035243668,759.9999999999994,0.0,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-17,2026-03-31,LONG_PUT,PUT,249.94,STOCK_PROXY,249.94,255.63,1,-570.3999999999997,-0.022821477154517072,331.0000000000002,-568.9999999999998,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-18,2026-04-01,LONG_PUT,PUT,248.96,STOCK_PROXY,248.96,255.92,1,-697.3999999999979,-0.02801253213367601,233.00000000000125,-695.999999999998,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-19,2026-03-31,LONG_PUT,PUT,247.99,STOCK_PROXY,247.99,255.63,1,-765.3999999999986,-0.030864147747893006,136.00000000000136,-763.9999999999986,12,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-22,2026-04-06,LONG_PUT,PUT,251.49,STOCK_PROXY,251.49,253.5,1,-202.3999999999991,-0.008048033719034517,486.00000000000136,-737.0000000000005,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-23,2026-04-07,LONG_PUT,PUT,251.64,STOCK_PROXY,251.64,258.9,1,-727.3999999999991,-0.028906374185344107,500.9999999999991,-725.9999999999991,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-23,2026-04-06,LONG_PUT,PUT,207.24,STOCK_PROXY,207.24,213.77,1,-654.4000000000001,-0.03157691565334878,790.0000000000006,-653.0000000000001,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-24,2026-04-08,LONG_PUT,PUT,252.62,STOCK_PROXY,252.62,260.49,1,-788.4000000000004,-0.031208930409310442,599.0000000000009,-787.0000000000005,15,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-24,2026-03-26,LONG_PUT,PUT,211.71,STOCK_PROXY,211.71,199.34,1,1235.6000000000004,0.058362854848613685,1237.0000000000005,0.0,2,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-25,2026-04-08,LONG_PUT,PUT,252.89,STOCK_PROXY,252.89,260.49,1,-761.4000000000023,-0.030107952074024367,625.9999999999991,-760.0000000000023,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-25,2026-04-06,LONG_PUT,PUT,207.54,STOCK_PROXY,207.54,213.77,1,-624.4000000000018,-0.030085766599209876,819.9999999999989,-623.0000000000018,12,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
