symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
CPRT,252,0,0,0,0,0,0,0.08019636,100.0,READY,,
CPT,252,0,0,0,0,0,0,0.04261813,100.0,READY,,
CRH,252,0,0,0,0,0,0,0.0954918,100.0,READY,,
CRL,252,0,0,0,0,0,0,0.1024539,100.0,READY,,
CRM,252,0,0,0,0,0,0,0.09680795,100.0,READY,,
CRWD,252,0,0,0,0,0,0,0.12823795,100.0,READY,,
CRWV,252,0,0,0,0,0,0,0.22635933,100.0,READY,,
CSCO,252,0,0,0,0,0,0,0.13409243,100.0,READY,,
CSGP,252,0,0,0,0,0,0,0.15446225,100.0,READY,,
CSX,252,0,0,0,0,0,0,0.06947661,100.0,READY,,
CTAS,252,0,0,0,0,0,0,0.07215265,100.0,READY,,
CTSH,252,0,0,0,0,0,0,0.10487503,100.0,READY,,
CTVA,252,0,0,0,0,0,0,0.09108378,100.0,READY,,
CVNA,252,0,0,0,0,0,0,0.16960931,100.0,READY,,
CVS,252,0,0,0,0,0,0,0.14152858,100.0,READY,,
CVX,252,0,0,0,0,0,0,0.05099431,100.0,READY,,
D,252,0,0,0,0,0,0,0.09444351,100.0,READY,,
DAL,252,0,0,0,0,0,0,0.09386069,100.0,READY,,
DASH,252,0,0,0,0,0,0,0.17453779,100.0,READY,,
DBA,252,0,0,0,0,0,0,0.02991777,100.0,READY,,
DD,252,0,0,0,0,0,0,0.08849812,100.0,READY,,
DDOG,252,0,0,0,0,0,0,0.31326969,100.0,READY,,
DE,252,0,0,0,0,0,0,0.11584941,100.0,READY,,
DECK,252,0,0,0,0,0,0,0.19459454,100.0,READY,,
DELL,252,0,0,0,0,0,0,0.32758246,100.0,READY,,
DG,252,0,0,0,0,0,0,0.14014015,100.0,READY,,
DGX,252,0,0,0,0,0,0,0.07372552,100.0,READY,,
DHI,252,0,0,0,0,0,0,0.16979118,100.0,READY,,
DHR,252,0,0,0,0,0,0,0.07374161,100.0,READY,,
DIA,252,0,0,0,0,0,0,0.02850519,100.0,READY,,
DIS,252,0,0,0,0,0,0,0.07749679,100.0,READY,,
DLR,252,0,0,0,0,0,0,0.06043422,100.0,READY,,
DLTR,252,0,0,0,0,0,0,0.17867943,100.0,READY,,
DOC,252,0,0,0,0,0,0,0.18110235,100.0,READY,,
DOV,252,0,0,0,0,0,0,0.08120041,100.0,READY,,
DOW,252,0,0,0,0,0,0,0.17451436,100.0,READY,,
DPZ,252,0,0,0,0,0,0,0.08843759,100.0,READY,,
DRI,252,0,0,0,0,0,0,0.07687144,100.0,READY,,
DTE,252,0,0,0,0,0,0,0.03785505,100.0,READY,,
DUK,252,0,0,0,0,0,0,0.03045249,100.0,READY,,
DVA,252,0,0,0,0,0,0,0.23459,100.0,READY,,
DVN,252,0,0,0,0,0,0,0.08609537,100.0,READY,,
DXCM,252,0,0,0,0,0,0,0.14633425,100.0,READY,,
EA,252,0,0,0,0,0,0,0.14870483,100.0,READY,,
EBAY,252,0,0,0,0,0,0,0.18295517,100.0,READY,,
ECHO,252,0,0,0,0,0,1,0.70247659,99.0,READY,1 extreme close-to-close returns detected.,
ECL,252,0,0,0,0,0,0,0.04289636,100.0,READY,,
ED,252,0,0,0,0,0,0,0.02739974,100.0,READY,,
EEM,252,0,0,0,0,0,0,0.06526776,100.0,READY,,
EFA,252,0,0,0,0,0,0,0.03904427,100.0,READY,,
EFX,252,0,0,0,0,0,0,0.12110255,100.0,READY,,
EG,252,0,0,0,0,0,0,0.1135822,100.0,READY,,
EIX,252,0,0,0,0,0,0,0.04510714,100.0,READY,,
EL,252,0,0,0,0,0,0,0.19187356,100.0,READY,,
ELV,252,0,0,0,0,0,0,0.14328915,100.0,READY,,
EME,252,0,0,0,0,0,0,0.16602317,100.0,READY,,
EMR,252,0,0,0,0,0,0,0.06944645,100.0,READY,,
EOG,252,0,0,0,0,0,0,0.04897963,100.0,READY,,
EQIX,252,0,0,0,0,0,0,0.10414742,100.0,READY,,
