date,equity,peak_equity,drawdown_dollars,drawdown_pct
2026-02-24,78297.31436330308,121046.12280566714,-42748.808442364054,-0.35316131943354273
2026-02-24,80238.30629228424,121046.12280566714,-40807.8165133829,-0.33712617610146506
2026-02-25,80866.94057730805,121046.12280566714,-40179.18222835909,-0.3319328310322219
2026-02-25,77374.35593769155,121046.12280566714,-43671.76686797559,-0.3607861685754958
2026-02-26,79314.12633526081,121046.12280566714,-41731.99647040633,-0.34476111669768017
2026-03-01,81808.04496623726,121046.12280566714,-39238.07783942988,-0.32415807239381345
2026-03-02,84174.45121627006,121046.12280566714,-36871.67158939708,-0.3046084478772816
2026-03-03,84877.37463170421,121046.12280566714,-36168.74817396293,-0.2988013769927175
2026-03-09,85685.55080830227,121046.12280566714,-35360.57199736487,-0.29212478002401043
2026-03-12,79268.33646809837,121046.12280566714,-41777.786337568774,-0.34513940115736463
2026-03-15,81341.5164639638,121046.12280566714,-39704.606341703344,-0.3280122107293506
2026-03-16,82543.24530029777,121046.12280566714,-38502.87750536937,-0.31808435175725214
2026-03-17,77953.77482247545,121046.12280566714,-43092.34798319169,-0.3559994073694874
2026-03-18,77060.61467174432,121046.12280566714,-43985.50813392282,-0.36337808361312923
2026-03-18,75449.31326524168,121046.12280566714,-45596.809540425456,-0.37668955009512045
2026-03-19,74565.762249057,121046.12280566714,-46480.36055661013,-0.3839888422633064
2026-03-22,77091.51694457387,121046.12280566714,-43954.60586109327,-0.36312279024136906
2026-03-22,77773.04733916368,121046.12280566714,-43273.07546650346,-0.3574924538142869
2026-03-23,69383.56199821457,121046.12280566714,-51662.560807452566,-0.42680062450570144
2026-03-24,70444.53541853804,121046.12280566714,-50601.5873871291,-0.41803559018876757
2026-03-24,71315.15050860918,121046.12280566714,-49730.97229705796,-0.41084316576498936
2026-03-24,70300.3113400615,121046.12280566714,-50745.81146560564,-0.4192270705528936
2026-03-24,73665.79598443481,121046.12280566714,-47380.32682123233,-0.39142374594929263
2026-03-25,73947.42708540108,121046.12280566714,-47098.695720266056,-0.38909710305947104
2026-03-25,70398.40638909099,121046.12280566714,-50647.71641657615,-0.41841667657450093
2026-03-25,64802.99501842596,121046.12280566714,-56243.12778724118,-0.4646421255271134
2026-03-26,60238.100270502066,121046.12280566714,-60808.02253516507,-0.5023541533237623
2026-03-26,52840.913312718956,121046.12280566714,-68205.20949294818,-0.5634646357277208
2026-03-26,39012.41566506545,121046.12280566714,-82033.70714060169,-0.6777061936325072
2026-03-29,36835.436310851626,121046.12280566714,-84210.68649481551,-0.6956909031279847
2026-03-29,38134.082419098,121046.12280566714,-82912.04038656913,-0.6849623801637978
2026-03-29,39755.03834608543,121046.12280566714,-81291.0844595817,-0.6715711546588737
2026-03-30,43672.78037766001,121046.12280566714,-77373.34242800713,-0.6392054585030018
2026-03-30,47804.68672339185,121046.12280566714,-73241.4360822753,-0.6050704837515561
2026-03-30,52170.18781219937,121046.12280566714,-68875.93499346776,-0.5690057095347388
2026-03-31,53608.20107626674,121046.12280566714,-67437.9217294004,-0.5571258307683945
2026-03-31,53174.20906827672,121046.12280566714,-67871.91373739042,-0.5607111749159867
2026-04-01,55213.54221756243,121046.12280566714,-65832.5805881047,-0.543863603907374
2026-04-05,54916.30830812874,121046.12280566714,-66129.8144975384,-0.5463191464934913
2026-04-06,54612.8243397199,121046.12280566714,-66433.29846594724,-0.5488263227778244
2026-04-07,55754.04223048127,121046.12280566714,-65292.08057518587,-0.5393983637130509
2026-04-08,55028.923750561786,121046.12280566714,-66017.19905510536,-0.5453887949892647
2026-04-09,53673.897848351786,121046.12280566714,-67372.22495731535,-0.5565830891211422
2026-04-12,57877.850390118496,121046.12280566714,-63168.27241554864,-0.5218529181389958
2026-04-13,68315.24649517924,121046.12280566714,-52730.8763104879,-0.43562631407157426
2026-04-15,69252.37947803455,121046.12280566714,-51793.74332763259,-0.427884364464813
2026-04-16,69878.94337649552,121046.12280566714,-51167.17942917162,-0.4227081235085712
2026-04-19,68101.74740231174,121046.12280566714,-52944.3754033554,-0.4373900970653531
2026-04-20,64622.370488241475,121046.12280566714,-56423.752317425664,-0.4661343214438258
2026-04-20,65965.14814545934,121046.12280566714,-55080.974660207794,-0.4550412139068449
2026-04-21,71499.60691007026,121046.12280566714,-49546.51589559688,-0.4093193135573708
2026-04-22,71178.00741395149,121046.12280566714,-49868.11539171565,-0.4119761479000542
2026-04-23,69564.0642359029,121046.12280566714,-51482.05856976424,-0.42530943888567035
2026-04-23,78896.95310475808,121046.12280566714,-42149.16970090906,-0.3482075156473803
2026-04-26,76558.15380959105,121046.12280566714,-44487.96899607609,-0.36752907044779176
2026-04-26,74543.4806109281,121046.12280566714,-46502.64219473903,-0.38417291786698904
2026-04-27,73414.7152577251,121046.12280566714,-47631.40754794204,-0.3934980026118774
